Standard_Thresh	Monotonic_Avg_Precision	Monotonic_Avg_Recall	Monotonic_Avg_log2FC	Monotonic_Avg_F1
0.0	0.002857278701237823	0.9967829624797364	0.016115040952947	0.005679876045596574
0.001	0.012936879946728177	0.9713337944074619	2.439769634332251	0.025347268318362384
0.002	0.02133838132728736	0.9585112083171818	3.1591544222684655	0.04123674537828312
0.003	0.02723774061372441	0.9529857513837864	3.505763296927417	0.052115161093209156
0.004	0.03194848872462473	0.9491629435177983	3.7325844771762693	0.0606391963551634
0.005	0.03593464713338051	0.9431984489319715	3.8984825073391667	0.06773281461455823
0.006	0.039509596423977195	0.9385665082228765	4.0330404917504	0.0740050287141401
0.007	0.04273323582255989	0.9327453743329737	4.14219095618903	0.07957218585168244
0.008	0.04574259176560064	0.9297818917828607	4.239760413957949	0.08472599738118765
0.009000000000000001	0.04854253212976505	0.9264754737046272	4.324657395314306	0.08946186457546881
0.01	0.051223652098641534	0.9224461595746357	4.400248775424255	0.09394822214436789
0.011	0.053720384371420765	0.919165703540747	4.469442583786815	0.0980970035439781
0.012	0.05607795723224532	0.9144317755918842	4.529962403380618	0.10196219603990367
0.013000000000000001	0.058319062974811056	0.9115443110108368	4.586402931745029	0.10560945556075456
0.014	0.06045635906727463	0.9073167562149062	4.636963283993723	0.10904555735947193
0.015	0.06251645554792906	0.9034144037668324	4.684279327950117	0.11231594428087668
0.016	0.06453433175773486	0.9004922946728757	4.730563443557	0.11551859594673222
0.017	0.06651004835587944	0.8978431248014791	4.774939826752908	0.11863418083773516
0.018000000000000002	0.06837639038487076	0.8945082424020593	4.814836995511352	0.12153246160937978
0.019	0.07019213962706913	0.891158950946836	4.852483602981734	0.12433170082895365
0.02	0.07189135761826777	0.8882453657932255	4.888451967572041	0.12693921763362226
0.021	0.07369584797813965	0.8859309245660398	4.925342356270514	0.12969299859069525
0.022	0.07526629751012921	0.8828179011282802	4.957263794201673	0.13207278589369692
0.023	0.07691747849151584	0.8809212305338835	4.988549595686693	0.13456189474360808
0.024	0.07859970505422317	0.8770972178233277	5.017972097731314	0.13704738168535796
0.025	0.07997947735208442	0.8724249060140843	5.042737111103392	0.1390256766914383
0.026000000000000002	0.08151578959814001	0.8694471985351566	5.0704821982702315	0.1412669431734457
0.027	0.0830814263258863	0.8679252850299123	5.098839908065595	0.14356729557988862
0.028	0.08460309384022845	0.8649613317591949	5.125574554396933	0.14574817348536323
0.029	0.08608395607584138	0.8625061857770948	5.150470537375435	0.14785825242830083
0.03	0.08748196804941664	0.8598893166699839	5.1736196861876556	0.14983736929444336
0.031	0.08892721482625007	0.8568715969241153	5.197280648338306	0.1518716547404969
0.032	0.09028950666412808	0.8539196147408159	5.219387644747497	0.15376182308821185
0.033	0.09162396270546291	0.8521617758733147	5.242242160812539	0.15565013342305792
0.034	0.09291600014055612	0.8497572394315096	5.263306049049383	0.15743225822210524
0.035	0.09414567395563102	0.8465325291755965	5.282438293771098	0.15909611271675653
0.036000000000000004	0.09542933820485615	0.8443094021968518	5.303719289928927	0.1608574361721447
0.037	0.09670470811214818	0.8415856269210993	5.322908744686127	0.1625945890052928
0.038	0.09790201261347962	0.8384719043882078	5.34130472729024	0.16421859753353912
0.039	0.09911909933675986	0.8356077300822768	5.3595047757430905	0.16579945280199399
0.04	0.10039221664861193	0.8334461786269274	5.378748014010605	0.16748715203176126
0.041	0.10149389581783398	0.8305576897097011	5.394521557604319	0.16891012635705877
0.042	0.10271079227018924	0.8288534113997701	5.413631943739272	0.17054409642671978
0.043000000000000003	0.10379175782253768	0.8266601832870921	5.430922762004826	0.17196279197510844
0.044	0.10497632341944917	0.8230724385939998	5.4462791021297425	0.17344469518700634
0.045	0.10609476458912045	0.8207805913263564	5.462748011216764	0.17490430944608423
0.046	0.10729965141881316	0.8186905260914858	5.480117324957529	0.17645351771395212
0.047	0.10851884379450061	0.8165887273596849	5.496583668436665	0.17801873975314658
0.048	0.10967243635767218	0.8140689774867058	5.511816181301456	0.17947900846182951
0.049	0.11079898346251332	0.8102854724243456	5.525260967791168	0.1808606799023236
0.05	0.11201444006764298	0.8087057753137247	5.542802356260916	0.18241599919071674
0.051000000000000004	0.11303809877783108	0.8053739431273502	5.556505643611231	0.18367955613855502
0.052000000000000005	0.11399333835636485	0.8020145702132113	5.5693789086902346	0.18479558757969863
0.053	0.11514044805596164	0.7997344344623274	5.58395660262711	0.18621656615607401
0.054	0.11630052163073619	0.7975031937519381	5.598362344083251	0.1876316392731681
0.055	0.1173559873778722	0.7939203098381242	5.6097449411157285	0.18881907528761513
0.056	0.11853618223040974	0.7923226990388503	5.625246000611813	0.19027248653054757
0.057	0.11953133442785387	0.7887201345829171	5.635616390002193	0.1913626721515147
0.058	0.12057804911134075	0.7870330565184346	5.64998947914428	0.19261024108515665
0.059000000000000004	0.12146473621038789	0.7851303642605334	5.662463947212887	0.1936492101947993
0.06	0.12240991310562524	0.7827673598031029	5.673908390804665	0.19470985499591623
0.061	0.12352458926262144	0.780495589464347	5.6866023603727385	0.19601509227987038
0.062	0.12456080463065741	0.778152661935804	5.698433913102298	0.19719390676005352
0.063	0.1252703818967252	0.7741804497302166	5.7068795889773	0.19788218624970028
0.064	0.1262636530981873	0.7714520303529996	5.718309435949767	0.1990026812291346
0.065	0.1272064085623877	0.7691864402059666	5.729226961002692	0.20008762456037354
0.066	0.12827223066649476	0.767894935201499	5.742420732016747	0.20132571183719375
0.067	0.12928919502018496	0.7654556308483929	5.753881566516289	0.20240665610792716
0.068	0.13025254294011526	0.7629481914752201	5.765201827759087	0.20343042907593853
0.069	0.1312019000197579	0.7609661131634509	5.776897019570877	0.20446476227354435
0.07	0.13222262258060127	0.7590600528207472	5.788762727163148	0.20560579510440957
0.07100000000000001	0.13302307023299795	0.7571290547698777	5.798983939642929	0.20643760112725007
0.07200000000000001	0.133942998375745	0.755268053024569	5.810129732096385	0.20739896030475144
0.073	0.13484830279022236	0.7523971607395594	5.819607201150839	0.2082984378213455
0.074	0.13574690908596487	0.749521101538099	5.82871971630611	0.2091994575287412
0.075	0.1366988753897191	0.746469993150774	5.838899369305379	0.21012930152244935
0.076	0.13767053703516924	0.7445222422954777	5.8501214848327105	0.21117219506021973
0.077	0.13849665006045703	0.7421002194135647	5.859106140694259	0.21194112665984982
0.078	0.13936067403311742	0.7392814580815723	5.868043611662166	0.2127543696259507
0.079	0.14014675950279554	0.7368543057000541	5.8786297149993345	0.21352312975725107
0.08	0.14103489886552745	0.7344144892756076	5.889008236671855	0.214434583450474
0.081	0.14191844633496958	0.7323963532483039	5.899644829970114	0.21533722149257928
0.082	0.1428086341809189	0.7302220411802872	5.90940522152035	0.2161795134112242
0.083	0.14375920116169874	0.728808457253351	5.920417935640651	0.21714317547259837
0.084	0.144702883321183	0.726576152386147	5.930066696224793	0.21810142741570052
0.085	0.14549760210894763	0.7233288807649696	5.937688176518256	0.21879953562554127
0.08600000000000001	0.1463987247764589	0.7211723238573878	5.947712955319437	0.21964429200133198
0.08700000000000001	0.14719453762636722	0.7193033218869912	5.9571410880586395	0.22042988444164174
0.088	0.14815595527056813	0.715755539146668	5.965086019966493	0.22130254916449696
0.089	0.14905357388903756	0.713301949136148	5.974611862281899	0.2221180979935513
0.09	0.1499063692992229	0.7100487525788777	5.982421049871798	0.22287167827426296
0.091	0.1507773663216729	0.7078352450487524	5.990155355550112	0.2237093335615531
0.092	0.1515594143609245	0.705044899701837	5.998327508852862	0.22437608387904423
0.093	0.1524869116991739	0.7023067955000475	6.006087584100625	0.22514059550762
0.094	0.15294042205085542	0.6982468784720274	6.010110740179039	0.22529786279018657
0.095	0.15360038967305445	0.6953675741313267	6.016877698801881	0.22576253620932052
0.096	0.1542737971546858	0.6916421805757362	6.0233329563911004	0.22615810572663486
0.097	0.1549764023967391	0.6892989608079969	6.030703308226211	0.22670908992049926
0.098	0.15588028090373404	0.6876160760023288	6.0406843268727926	0.22758590537748508
0.099	0.1565632984007054	0.683243944797864	6.044581801232613	0.2280137365406637
0.1	0.15738610125664654	0.6807238959628487	6.052891133402724	0.2286594897712545
0.101	0.15806477432829413	0.6787691210880396	6.060869545429078	0.22915448705148977
0.10200000000000001	0.15895387370781983	0.6769439672557775	6.070257518861556	0.22995050407378106
0.10300000000000001	0.1598225617464136	0.6743102661337684	6.078061813929369	0.23066133425361549
0.10400000000000001	0.16067711284852637	0.6728538822583867	6.087030879571734	0.2314123743847692
0.105	0.16141531038178059	0.67038753441476	6.09378135312034	0.23201220508895956
0.106	0.16230085678065842	0.668781558203358	6.102950250861257	0.2327618115886759
0.107	0.1631437989093533	0.6658071640039339	6.10956185228196	0.23345639239656754
0.108	0.16386210588337785	0.663464236475391	6.116298422972756	0.2339749386650268
0.109	0.16466794044137414	0.6618761739526422	6.125154134829402	0.2346009000028048
0.11	0.16551966703033277	0.6580939533995178	6.13094921491727	0.23511869702556762
0.111	0.16624059388852466	0.6556087463946092	6.1382636754237625	0.23563046544758803
0.112	0.16709193444498083	0.6522142158336018	6.1434671545645205	0.23624773936537924
0.113	0.16784246979444092	0.6496174236553784	6.149895445107749	0.23673201083198223
0.114	0.16868877606276184	0.6469777800803362	6.156774181044128	0.23726025852393534
0.115	0.1693240965781448	0.6435570130744555	6.161996847246007	0.23753483431336508
0.116	0.16998666681582758	0.6402070303977367	6.167097940145528	0.23789293422779
0.117	0.17070245041771256	0.6380909330984901	6.174176780330845	0.23837561000928592
0.11800000000000001	0.17144623443678883	0.6360064472285167	6.181061535617672	0.23886601855460565
0.11900000000000001	0.172163253729539	0.634038597464162	6.187505539292757	0.2393841362319472
0.12	0.17293438778143178	0.6310944868022879	6.193347331095726	0.2398023173150036
0.121	0.17392282851888102	0.6293175901539066	6.200810321363979	0.24052134508428474
0.122	0.1743936623136939	0.6258898739895596	6.204587540968316	0.2405983792482142
0.123	0.1753619077215678	0.6244205223044772	6.212599608129782	0.2413570378152225
0.124	0.17620186700485382	0.6223244134259311	6.220220512500456	0.24192850433647375
0.125	0.17690883417982062	0.6206129305880983	6.227023972417372	0.2423771586371535
0.126	0.17771557788050354	0.6179559825272475	6.232851946754326	0.24282619575595066
0.127	0.1783951125016266	0.6153825164983373	6.239004401767096	0.24319404559357538
0.128	0.1790262812221724	0.6132164113142303	6.244828130103824	0.2435282847974401
0.129	0.17975751783983795	0.6103704567373867	6.250061816888484	0.24391486641455545
0.13	0.18039616050007612	0.6073711728756871	6.255104162514723	0.24418845679118423
0.131	0.18085292782853507	0.6042118819104159	6.258488328194546	0.24421149464798983
0.132	0.18136821194990016	0.600766451596898	6.261697106783572	0.24430677056478867
0.133	0.18200437342316458	0.598246701723919	6.267227579378957	0.24461123059171225
0.134	0.18266162736869035	0.5960878010677139	6.27233288073984	0.24486100550496637
0.135	0.18343769659449213	0.5943086728897486	6.278951650695193	0.24533930835250525
0.136	0.18406985207568757	0.5920160164207732	6.2852013209231465	0.2456376576393115
0.137	0.1848596616855303	0.5907219453160305	6.2923935373842355	0.2461559956726813
0.138	0.18548097531295554	0.5884563771491682	6.2977037083882	0.24635483240405992
0.139	0.18610988384182492	0.5854287394486102	6.302046826927341	0.24657972237728193
0.14	0.18705327213098608	0.5844079884462973	6.311388721667316	0.24728347996318703
0.14100000000000001	0.18784170316593246	0.581891743206168	6.3165655984521685	0.2476197893519466
0.14200000000000002	0.1885236034105241	0.5798467145885216	6.322636955116879	0.24791003753635046
0.14300000000000002	0.18902763195220734	0.5762483972827253	6.3245095433314455	0.24791003753635046
0.14400000000000002	0.18973329090577962	0.5744468192302734	6.329531253879425	0.24820542024498848
0.145	0.190147689584291	0.5713856356187887	6.331797815331714	0.24820914199432648
0.146	0.1908734974129344	0.569559340668633	6.339073274231019	0.24854370253865923
0.147	0.19145695799325418	0.5668486764518509	6.342550180348424	0.2486370675945863
0.148	0.19210416189106544	0.564575903757087	6.348415836179501	0.24886001597930496
0.149	0.19271534957767622	0.5619203362776262	6.353141229054907	0.24902167229615935
0.15	0.19330329786716519	0.5590737113289923	6.357405337314308	0.2491915230989451
0.151	0.19384284371962404	0.556289803172274	6.361298586200854	0.24935804483692953
0.152	0.19436185011364204	0.5537172013652742	6.364412891032328	0.24935804483692953
0.153	0.19522119866159143	0.5512686086820824	6.369750969573525	0.249661213496224
0.154	0.19593584196016287	0.549870429071862	6.377509320480069	0.2500943100414677
0.155	0.19669993044517892	0.54830949657278	6.384686683144831	0.25046522956930006
0.156	0.19733542687970002	0.5460926429380233	6.38963851245196	0.2507386097690882
0.157	0.1979377976120073	0.5439407882815016	6.394629560024506	0.250857794164959
0.158	0.1984769435128871	0.5412116242300149	6.398676571934311	0.250857794164959
0.159	0.19910155367647275	0.5396168067773686	6.404563437801494	0.25098276382875295
0.16	0.19971184065165454	0.5369510206495925	6.408610268534217	0.25113057957181184
0.161	0.20051654327144783	0.5349664110959281	6.415079104204101	0.2514962614450181
0.162	0.20123782266115292	0.5337808952874287	6.422601454118897	0.2519176769024129
0.163	0.20201983226823367	0.5322854230297831	6.428440240559229	0.2522929225046494
0.164	0.20287038948637043	0.5317719311737319	6.436247714854008	0.2529255817520704
0.165	0.20361128428704178	0.5289977404878219	6.4403132252430355	0.25314171313202827
0.166	0.20393688340979804	0.5255947939381929	6.4423124893614085	0.25314171313202827
0.167	0.20450994177267928	0.5228096770034857	6.4451204748491016	0.25314171313202827
0.168	0.20532287933149135	0.5204408267913841	6.449892363395211	0.2531726819159305
0.169	0.20589255372376686	0.5179877622379682	6.453560593655027	0.25322656505985963
0.17	0.20662362907838222	0.514922015480108	6.456655917280558	0.25332447124503754
0.171	0.20721252953381425	0.5130337102978393	6.460815412409657	0.2533931338541423
0.17200000000000001	0.20813115916168107	0.5116449055508507	6.4681113273254205	0.2538960908002709
0.17300000000000001	0.20856402329846693	0.5084890087361014	6.46990300174641	0.2538960908002709
