Standard_Thresh	Monotonic_Avg_Precision	Monotonic_Avg_Recall	Monotonic_Avg_log2FC	Monotonic_Avg_F1
0.908	0.9312517589453863	0.10428956868389687	8.72568419400656	0.4658742163347221
0.909	0.9312517589453863	0.10357952163498986	8.72568419400656	0.4658742163347221
0.91	0.9312517589453863	0.1024884871082961	8.72568419400656	0.4658742163347221
0.911	0.9312517589453863	0.10196001539278704	8.72568419400656	0.4658742163347221
0.912	0.9313296653441824	0.10107186170583969	8.725910620477025	0.4658742163347221
0.913	0.9336569627476624	0.10071826772218699	8.730011726988108	0.4658742163347221
0.914	0.935798000134595	0.10025875514079842	8.733753913194318	0.4658742163347221
0.915	0.9358416962364418	0.09898815729720173	8.73387072359741	0.4658742163347221
0.916	0.9358416962364418	0.09747770153964946	8.73387072359741	0.4658742163347221
0.917	0.9358416962364418	0.09643764963858574	8.73387072359741	0.4658742163347221
0.918	0.9358416962364418	0.09523907555521849	8.73387072359741	0.4658742163347221
0.919	0.9358416962364418	0.09400730697661286	8.73387072359741	0.4658742163347221
0.92	0.9358416962364418	0.09364352543533279	8.73387072359741	0.4658742163347221
0.921	0.9358416962364418	0.0919169903049142	8.73387072359741	0.4658742163347221
0.922	0.9358416962364418	0.0898168173938307	8.73387072359741	0.4658742163347221
0.923	0.9358416962364418	0.08843253501073027	8.73387072359741	0.4658742163347221
0.924	0.9363235599825716	0.08745038779983538	8.734924703627735	0.4658742163347221
0.925	0.9386181068246925	0.0865290747436439	8.738884900339734	0.4658742163347221
0.926	0.9386181068246925	0.0840823775380829	8.738884900339734	0.4658742163347221
0.927	0.9388343070090306	0.08295012985173976	8.73934959030892	0.4658742163347221
0.928	0.9390565100285063	0.08247279380208797	8.739755792838826	0.4658742163347221
0.929	0.9390565100285063	0.08197823052338639	8.739755792838826	0.4658742163347221
0.93	0.9396844869137922	0.08079577410578807	8.740427613810645	0.4658742163347221
0.931	0.9396844869137922	0.07988829008834636	8.740427613810645	0.4658742163347221
0.932	0.9401911113266505	0.07898244118549892	8.741328444778176	0.4658742163347221
0.933	0.9401911113266505	0.07790173081213882	8.741328444778176	0.4658742163347221
0.934	0.9401911113266505	0.07730525685813612	8.741328444778176	0.4658742163347221
0.935	0.9404011629945267	0.07692667809134295	8.74175076634151	0.4658742163347221
0.936	0.9437320728468325	0.07595311052036088	8.747275741398289	0.4658742163347221
0.937	0.9501120944183103	0.07513117955757352	8.75729833264824	0.4658742163347221
0.9380000000000001	0.9501120944183103	0.07358295658673296	8.75729833264824	0.4658742163347221
0.9390000000000001	0.9508522452142584	0.07321846153628171	8.75857313790984	0.4658742163347221
0.9400000000000001	0.9546173637562592	0.07214035834946424	8.764399528213753	0.4658742163347221
0.9410000000000001	0.9551553229223858	0.0700470534570608	8.765300833374425	0.4658742163347221
0.9420000000000001	0.9551553229223858	0.0683486266120994	8.765300833374425	0.4658742163347221
0.9430000000000001	0.9560535418697375	0.0679548327429813	8.766800315596393	0.4658742163347221
0.9440000000000001	0.9569452095839496	0.06759619833017393	8.76826850780001	0.4658742163347221
0.9450000000000001	0.9573139356848016	0.06663094572065237	8.768890552604587	0.4658742163347221
0.9460000000000001	0.9573139356848016	0.06527631070794598	8.768890552604587	0.4658742163347221
0.9470000000000001	0.9577238549869761	0.06364117462574961	8.76960415229665	0.4658742163347221
0.9480000000000001	0.9584299109533122	0.06320173267841367	8.770758688945829	0.4658742163347221
0.9490000000000001	0.9606733598425312	0.0628251382028414	8.774171138010844	0.4658742163347221
0.9500000000000001	0.9617011962083364	0.061815833158209856	8.77563696408077	0.4658742163347221
0.9510000000000001	0.9636183490713773	0.06128960050896821	8.778735090979241	0.4658742163347221
0.9520000000000001	0.9652715706660002	0.06029005089044876	8.781388939480067	0.4658742163347221
0.9530000000000001	0.9652715706660002	0.05929815441375147	8.781388939480067	0.4658742163347221
