Standard_Thresh	Monotonic_Avg_Precision	Monotonic_Avg_Recall	Monotonic_Avg_log2FC	Avg_F1
0.0	0.0027098168025135004	0.9958844897075249	-0.004277030004347727	0.005397547221715651
0.001	0.04707089809963629	0.9680623432200087	4.12243000428694	0.08761264645926999
0.002	0.06617768760460783	0.9460102150557832	4.632424408361238	0.11997440328177163
0.003	0.07703940842420127	0.9303097132588211	4.856575960000136	0.13755391060489222
0.004	0.08482403086007406	0.9182606245010824	5.001386895256847	0.14981160081475323
0.005	0.09098481356993261	0.9107136961901542	5.107926848240616	0.15937356691803822
0.006	0.09621910637049609	0.9031815330767935	5.188568984201505	0.1673107627566239
0.007	0.1005681760950576	0.8952416847247567	5.252378212593957	0.17379258911121265
0.008	0.1044408955414559	0.8873847321046359	5.304608194238704	0.1794301608969178
0.009000000000000001	0.10790410210012791	0.8819224532841728	5.352689097563147	0.18445333204562445
0.01	0.11124229465525819	0.8780022733338577	5.399012954480035	0.1892880278706738
0.011	0.11414404222945611	0.8705673562814987	5.434186510328044	0.19331600189099785
0.012	0.11708436721020495	0.8669509222704108	5.472004932699157	0.1974713998592139
0.013000000000000001	0.11982909202397868	0.862502956897346	5.50499566419064	0.20130714363523697
0.014	0.12234490067026312	0.8580464877302948	5.534117438485931	0.20477465859419108
0.015	0.12465250942891164	0.8528315173849083	5.560670777397981	0.20787125655027672
0.016	0.12706730023700719	0.8496532628598222	5.588421672748388	0.21116405721477963
0.017	0.12926597720940994	0.8466018017572567	5.614177634452818	0.21413508415622415
0.018000000000000002	0.13120027044476962	0.8401811981522962	5.631989773023975	0.21660389284649517
0.019	0.1331411204579033	0.8372381441636064	5.653739125201355	0.21917189535065618
0.02	0.13509840436853351	0.833713109678421	5.675667089392093	0.2217386616096114
0.021	0.13701190781491437	0.8311213034642568	5.6967219356149235	0.22425679635900564
0.022	0.13866264216123228	0.8266836524407174	5.713800466841957	0.2263391849608327
0.023	0.1404178879930734	0.8233060231107193	5.731557901216607	0.22855798912783457
0.024	0.1421171520919011	0.8201362723796198	5.748605648460793	0.23071620357308462
0.025	0.14359634053236228	0.8156152937892976	5.761613422272368	0.23251206308604636
0.026000000000000002	0.14506900147177934	0.8137156857410429	5.778103155870407	0.23436402956452773
0.027	0.1463946628027005	0.8104254199573876	5.791473528307308	0.23596010155117433
0.028	0.14780431780036987	0.8079519033717578	5.806187176041557	0.23770427756285603
0.029	0.14942643660039448	0.8059689677567204	5.82207330949669	0.239707236707281
0.03	0.15107149207487489	0.8046970314847206	5.838439617065114	0.24179766626045737
0.031	0.15238735066788603	0.802639272096887	5.8521359441151874	0.24345811252849545
0.032	0.15387944831663572	0.8003342042339773	5.865650395507022	0.24524891421906883
0.033	0.15534800211689884	0.7991971333436183	5.87983573618953	0.24709216516003063
0.034	0.1566351526478481	0.7981039601438636	5.892652732752154	0.24867915973512641
0.035	0.15801760459443562	0.7963060490046528	5.904797557058455	0.25034772033418046
0.036000000000000004	0.15918633351521758	0.7942177858187898	5.915555682471674	0.2517025584022856
0.037	0.16026072730888383	0.7897232750469373	5.922975962207084	0.25282720231264244
0.038	0.16131440621270315	0.7868881963372566	5.931936980952387	0.25399763123728925
0.039	0.16260966872511107	0.7845311588246222	5.943129242450361	0.25547818358473107
0.04	0.1637939411067753	0.781309438443798	5.951862457624377	0.25675558366161616
0.041	0.1650853748368567	0.7789420865816384	5.9618997060797945	0.2582296276424703
0.042	0.16631879590355592	0.777464620419388	5.972997186599348	0.2596630704075425
0.043000000000000003	0.16728382664464847	0.7748269996408378	5.982138949103695	0.26073291695619977
0.044	0.16854476968120033	0.773864655843164	5.994002177214289	0.26220134615582197
0.045	0.16966712426675615	0.7716429155470368	6.0040450535706045	0.2634088483227564
0.046	0.17062174039283137	0.7679682335162593	6.009906645089711	0.26434217234449525
0.047	0.1715572819648398	0.7665798181712637	6.018244517804607	0.26537758852597193
0.048	0.17256982803021878	0.7639526180604813	6.026227725029211	0.26646788948802147
0.049	0.17369985495508833	0.7618594647760298	6.035058011839804	0.2677204012255858
0.05	0.17474195672250706	0.7599804684604416	6.043741712229674	0.2688164429676651
0.051000000000000004	0.1756679876345284	0.7573053346794948	6.050036347444032	0.2697670934434861
0.052000000000000005	0.1766828945400902	0.7544993714964671	6.0564671394006595	0.27078928183275286
0.053	0.17764141871925224	0.7522588130568281	6.062901406109032	0.27175061685037766
0.054	0.17858102971450696	0.750743604289312	6.070585107745419	0.2727719777680725
0.055	0.17945413349745723	0.7473910545064069	6.075302125412421	0.27353618988874606
0.056	0.18030817616081782	0.7454560525615341	6.082696069227531	0.2743773681998089
0.057	0.18121625196001856	0.7433297477708697	6.090061719345397	0.2752655503116516
0.058	0.18225167839930598	0.7416586300541796	6.098180507845288	0.2763452244645794
0.059000000000000004	0.18316562483517287	0.7403262203384688	6.105237195098712	0.277297038729436
0.06	0.18406481813397746	0.7383432847234316	6.112680150382033	0.27817038618152484
0.061	0.18494867514990934	0.7363854286554873	6.119564759379962	0.27904377616405257
0.062	0.18571719534982575	0.734070098487766	6.124229202843961	0.27974100980684696
0.063	0.1867815873497153	0.7329643334697512	6.133052743974999	0.2808775241523573
0.064	0.18755819425283837	0.7309334641845494	6.138798037766262	0.2815963442319163
0.065	0.1883127803166127	0.728310300053327	6.143188566381831	0.2822667353656901
0.066	0.1892541246152755	0.7270255323056224	6.149915547101794	0.28321511111643916
0.067	0.19017642842117097	0.7255810981640063	6.156868510138008	0.2841031144083838
0.068	0.19092599705580504	0.7238498118730997	6.163077299012372	0.28477824995426776
