Standard_Thresh	Monotonic_Avg_Precision	Monotonic_Avg_Recall	Monotonic_Avg_log2FC	Monotonic_Avg_F1
0.0	0.0009072789186666579	0.9979248506035479	-0.0008839819697193613	0.0018113093575204222
0.001	0.020116471387662826	0.8602837488237816	4.295699660705387	0.03867986166308537
0.002	0.025381849995046845	0.8446291930409446	4.6396360921657696	0.04834318275050598
0.003	0.02847158858762631	0.8320167582458722	4.801879098357808	0.05392688132399553
0.004	0.030702949094610903	0.8188158393073881	4.903405974930257	0.05790817280848518
0.005	0.03252853965881543	0.8054763961801384	4.972292981841856	0.06113905518733603
0.006	0.034055393468402174	0.788337236960984	5.0122977667147754	0.06380906324355476
0.007	0.03550688576073106	0.7810939841881752	5.065486277720262	0.06634140180698272
0.008	0.036860347315741795	0.7763037972546144	5.116642635051774	0.06869221094795061
0.009000000000000001	0.03815324074447562	0.7703060093981063	5.156035965898527	0.0709304292059207
0.01	0.03930101100352122	0.763223087626066	5.188022021715891	0.07290319546833189
0.011	0.04034029207724528	0.7575915244093657	5.2202387116243845	0.07467863482974166
0.012	0.0412678980103194	0.751257063234131	5.249793407870538	0.07624436579532497
0.013000000000000001	0.04217814768799101	0.7442580784036523	5.272070315739375	0.07778091349482441
0.014	0.04316213681424893	0.740680267267977	5.300591389292769	0.07944960072069142
0.015	0.04409870870268122	0.7389670378281374	5.334612499861866	0.08103891490716919
0.016	0.044851203091905864	0.7337909213776826	5.354316467264279	0.08228145383832558
0.017	0.04566973921621867	0.7288045134859296	5.372003365199251	0.08365043616148111
0.018000000000000002	0.046497067827093244	0.7254208213735294	5.396111145313833	0.08502378728661798
0.019	0.047384411601212935	0.7237529988093985	5.420704929694226	0.086507646910394
0.02	0.04807490909091268	0.7187078178011932	5.432449997697457	0.08763719718235173
0.021	0.04891854411499878	0.715503108115181	5.447404310693052	0.0890407457889987
0.022	0.04966721620328125	0.7109716088161605	5.4611388662645295	0.09025853524418742
0.023	0.050263310300637715	0.7048942436504866	5.475216054733062	0.0911958191809422
0.024	0.05089782502913108	0.7018831098462203	5.495788279285559	0.09221365618517186
0.025	0.05164301866511868	0.7009984286222892	5.5194423701687345	0.0934452857101843
0.026000000000000002	0.052294889313056266	0.6983711224	5.538841152793413	0.09449262792632324
0.027	0.053014573594872896	0.6967326953943878	5.557727432631317	0.09567357031873808
0.028	0.05355195032104554	0.69272354786611	5.5706592789903855	0.09651721637907852
0.029	0.054337975156439844	0.6909701967354378	5.588671466772489	0.0977919309172198
0.03	0.054987301844218205	0.6871919329081613	5.596814682051441	0.09881924710465577
0.031	0.055713962026432126	0.6846976640630386	5.612390490460547	0.09998821789820078
0.032	0.05643243057627267	0.6824017459746002	5.628140494735466	0.10113630021547618
