Standard_Thresh	Monotonic_Avg_Precision	Monotonic_Avg_Recall	Monotonic_Avg_log2FC	Avg_F1
0.0	0.0025564153853600666	0.9945203862087291	-0.006293477442129939	0.005091222124300733
0.001	0.006216044997624934	0.9826227000745753	1.3141538361017702	0.01231113037384903
0.002	0.009606473120300529	0.9704774532598007	1.9704673699125923	0.01892377527166686
0.003	0.014594199166137238	0.9586654161511915	2.591168172706875	0.02850247054293784
0.004	0.021264203370092716	0.9456571364811156	3.138436901819752	0.04102226258455716
0.005	0.029278258767898403	0.9358702136994531	3.5998319420303666	0.055612173296143735
0.006	0.037878608167281995	0.9288804932968223	3.969861098876675	0.0707276720824097
0.007	0.04617339712142384	0.9227841516246943	4.256251906412768	0.08479343699617543
0.008	0.05380007411804554	0.9155896852511903	4.475704924221147	0.09729848528553237
0.009000000000000001	0.060512908077924595	0.9108189480779458	4.647498495555888	0.10801685447868897
0.01	0.06629427329385175	0.9058467912225977	4.782328873543136	0.11701871233983119
0.011	0.07113458110095298	0.9033109037803277	4.891965830292353	0.12448257689130292
0.012	0.07533382287145814	0.9002681714784807	4.982222783747776	0.13084714953070128
0.013000000000000001	0.07902546587134864	0.8954669254547513	5.055289964434487	0.13636613822758956
0.014	0.08222682507268841	0.8904566274816125	5.117509779394922	0.14109771364038404
0.015	0.08513056141342905	0.88762128398479	5.1722184752313884	0.14537659992629445
0.016	0.088043749582229	0.8852737555324702	5.22462853674829	0.14962603782291517
0.017	0.09074220988182741	0.8834015019118343	5.272062333942373	0.15353473362504058
0.018000000000000002	0.09321195943378908	0.8819283223749427	5.315253465695136	0.1570912050952197
0.019	0.09545222932463769	0.8782927285745533	5.35267455154645	0.1602046772524347
0.02	0.09775813859362766	0.8766420671161453	5.390583283911147	0.16345235729732077
0.021	0.09998050270562936	0.8745558536005872	5.424677942468101	0.16655144218581489
0.022	0.10219875720794898	0.8732808489446713	5.459285729958199	0.1695997812850294
0.023	0.10428177728365866	0.871299161403818	5.489486570750557	0.17245957700235603
0.024	0.10620555775059935	0.8698624598403323	5.519319203773018	0.1750894320882511
0.025	0.1082583125495471	0.868441543290793	5.54812360153526	0.17784819116728431
0.026000000000000002	0.11011687394660157	0.8673026346374749	5.575789461330768	0.18037541629607778
0.027	0.11195082400889722	0.8661479409702103	5.602100745010783	0.18282674526342602
0.028	0.11367985402009184	0.8640791756129835	5.627385053946188	0.18509293534866653
0.029	0.11541434967039689	0.86209748807213	5.6506053037687	0.18739175688458354
0.03	0.11711147086046396	0.8604626116276686	5.673884284740404	0.1896161483535371
0.031	0.11876707023337514	0.8584651390728687	5.694591754375588	0.19175118578098269
0.032	0.1202677922486916	0.8555775325886938	5.714213394555735	0.19367430732662871
0.033	0.12170478847229375	0.8543498829746174	5.733727829621102	0.19554139781560534
0.034	0.12333994301926819	0.8536132932061719	5.753957194564973	0.19763988195460094
0.035	0.12487824712137459	0.8522969026313373	5.7737661748360525	0.1996051838294429
0.036000000000000004	0.12637164558558528	0.850722441920869	5.792613174052172	0.2015073262124628
0.037	0.12789633897397432	0.8495993182814975	5.81112658064725	0.20342950257797754
0.038	0.12933733303690617	0.8469000707872727	5.828409451692759	0.20524476714485584
0.039	0.13073237439893562	0.8442530862804004	5.8428046642652385	0.20693854192563763
0.04	0.13200624417171114	0.8426753807688042	5.858947778599437	0.20849072442056182
0.041	0.13348704904671185	0.8418865280130059	5.876975534254235	0.21033926840219364
0.042	0.13485379162055952	0.8387120056870973	5.891629579489617	0.21197872327234338
0.043000000000000003	0.13622058606200624	0.8369235850817067	5.907629333289086	0.21367233701095256
0.044	0.13749395892379984	0.8356229795208187	5.922895875826998	0.21524056980424863
0.045	0.13865803318195172	0.8335160730458013	5.935331405753355	0.21663489715502213
0.046	0.13991009940711252	0.8326591722887043	5.9503086476671685	0.21815560477290186
0.047	0.14120319723160474	0.8313585667278165	5.965273980489012	0.21972853252971114
0.048	0.14251526035873466	0.8300056981795759	5.979991855934332	0.22130053098861002
0.049	0.14365380724527335	0.8281334445589401	5.992783994708886	0.22261666279570344
0.05	0.1449510354705604	0.8266270318497706	6.0067328615325755	0.22416346284311173
0.051000000000000004	0.14607873170209756	0.8250444183926616	6.018832784224904	0.2254654456274916
0.052000000000000005	0.147388317069619	0.8240258207279947	6.0331128580796785	0.22701237676457683
0.053	0.14853789881652538	0.8206580314666231	6.042240229317919	0.22822926427447224
0.054	0.14961453546342612	0.8184830769903068	6.053001308638887	0.22944288610698751
0.055	0.15080806165275717	0.8173076903635828	6.0654023884911465	0.23079240832022663
0.056	0.15196888283397794	0.816450789606486	6.079293583892297	0.23215874350409846
0.057	0.15317076406091312	0.8153069730076549	6.091201249714892	0.23352205195137335
0.058	0.15435834357397551	0.8144293792910986	6.103613889292961	0.23489989464175812
0.059000000000000004	0.1553156473416505	0.81314946668967	6.114555174789309	0.23596752359698178
0.06	0.15658576656732925	0.8117840579286111	6.126843733192286	0.23740816779615884
0.061	0.15764277627312492	0.8105041453271825	6.1393762488769505	0.23861132215847833
0.062	0.1587275323240226	0.8084908877584359	6.149687151055258	0.23974816906077764
0.063	0.1598767501495709	0.8072632381443597	6.160526390155938	0.24097206561072193
0.064	0.16086091647034753	0.8065266483759138	6.170728275079401	0.24208221795367665
0.065	0.1620156791380206	0.8055287436707063	6.182395558397956	0.24334771242671036
0.066	0.16327228052962847	0.8036357970906111	6.193315408812221	0.24467734742886585
0.067	0.16438839969741484	0.8026171994259442	6.203918924777125	0.24589713673496708
0.068	0.16555268145683202	0.8019328726448508	6.214639844175072	0.24717776355868448
