Standard_Thresh	Monotonic_Avg_Precision	Monotonic_Avg_Recall	Monotonic_Avg_log2FC	Avg_F1
0.0	0.0018457338108282002	0.9952928859755167	0.11921866174541848	0.00367959548831378
0.001	0.01937641255371192	0.9608163769945127	3.6125062258639424	0.03749974443946339
0.002	0.027393215015237525	0.9492841363138579	4.1152719889386855	0.05231053619647288
0.003	0.03331616575645184	0.9396141803108256	4.404011223303675	0.06300556863232896
0.004	0.038272549986875994	0.9307245437976854	4.609511925705622	0.07178751425182255
0.005	0.042786800819545216	0.9242148474130758	4.776377716979612	0.07967808504065274
0.006	0.04699024406621198	0.9203455628305501	4.918182830067387	0.08694337798882565
0.007	0.05079571004765856	0.9157036479934166	5.035883212749636	0.09343281803719769
0.008	0.054375030067583555	0.9107248042641691	5.139263682585603	0.0994614272953611
0.009000000000000001	0.05779314491688814	0.9063819321910641	5.230604920860203	0.10515566319258388
0.01	0.06076655687215775	0.8994481748268459	5.305667340471501	0.11003223279990337
0.011	0.06345133693949458	0.8920509742122056	5.369456092459596	0.11435993938127079
0.012	0.06619551477532494	0.8879799896281806	5.434709228087904	0.11878736408525177
0.013000000000000001	0.06886464039876394	0.8843669514247239	5.495512665078879	0.12305648069698652
0.014	0.0713452944851249	0.8800028120107746	5.550447221247579	0.1269725579240517
0.015	0.07379141498524788	0.8777293045692778	5.604342214878863	0.13085457846070506
0.016	0.07613305127885196	0.8736490841098012	5.652310262944811	0.13453392740224335
0.017	0.07841229807662367	0.8716469511830682	5.699419256234823	0.1381048396165942
0.018000000000000002	0.08027909238026117	0.8652113273859628	5.73385267785927	0.14091932320507045
0.019	0.08236740248272578	0.863092281006805	5.775771936423575	0.14414139803203047
0.02	0.08429739669386625	0.8590285252630332	5.809617048851454	0.14702598170901243
0.021	0.08625280622155791	0.8555066863090739	5.8459073241852515	0.14994238474080684
0.022	0.088112034973525	0.8526197336840354	5.878735089141993	0.15270384396082923
0.023	0.09004841897990545	0.8509458349726218	5.911754516002118	0.15559523837136716
0.024	0.091878778649412	0.8480542977764498	5.942904387028355	0.1582979048591217
0.025	0.09354817847559889	0.8446122422564614	5.971501768511405	0.16071392227881937
0.026000000000000002	0.09527330813760362	0.8419871808092807	6.000041671818184	0.163226845082535
0.027	0.09698816819962588	0.8398853812925859	6.028431843116901	0.16571730343955818
0.028	0.09867715394147455	0.8378049060039034	6.055001397216221	0.16815517490536885
0.029	0.10010052171260024	0.8341188528116982	6.076564228158942	0.17011312170748377
0.03	0.10175479604718014	0.8325927075568395	6.102180427369867	0.17249245399965038
0.031	0.10318381648524144	0.8290868822091857	6.122991126776325	0.17442737449418327
0.032	0.10464813356550742	0.8270535765288833	6.14548676292868	0.1764744147599375
0.033	0.10627505660442615	0.8251553735212476	6.168563943098856	0.17875661910675728
0.034	0.10761288335076531	0.822999526341226	6.188695687607873	0.18060811498800627
0.035	0.10900465726008166	0.8208972664295004	6.209234160937201	0.1825286104394533
0.036000000000000004	0.11027640030810348	0.8180068613711036	6.22729940198535	0.18423225503511992
0.037	0.11175237067843188	0.816267561980007	6.247884522488329	0.18623110732211212
0.038	0.11312261801438302	0.8147523935324023	6.267010659183955	0.18811454784005713
0.039	0.11419148604551463	0.811381484933497	6.281080959787542	0.18945327251043992
0.04	0.11550440021232693	0.8100736398994226	6.298619650838607	0.19120851553719914
0.041	0.11680970151159627	0.8086335312012904	6.315833379771041	0.19296014587834898
0.042	0.11813339803960934	0.8075555884516739	6.3346271227156015	0.1947608408715515
0.043000000000000003	0.11931224050198033	0.8053842263795892	6.349981919148362	0.19627261541707136
0.044	0.12061266081664894	0.8038378422239397	6.366872943079647	0.19796497588076795
0.045	0.1217611114973538	0.8014743377775343	6.381456132224953	0.19941493266959318
0.046	0.12301674484254624	0.7990213443410435	6.39701423946339	0.2010165600912604
0.047	0.12432235794758051	0.7974843698836372	6.413565411796398	0.20269653597987056
0.048	0.1255464569071844	0.7954137370811043	6.427516654151141	0.2042405043033885
0.049	0.1266806887074385	0.7925716406025604	6.440635118966563	0.20562407828985774
0.05	0.12766278016462831	0.7903577601237852	6.4526810613515675	0.206824857721861
0.051000000000000004	0.12886252377326815	0.7890618858182933	6.467454616096765	0.20836611800853272
0.052000000000000005	0.13010521565397332	0.7876480995037843	6.48351592296112	0.20997370272716037
0.053	0.13120996794722867	0.7848322934756	6.496214757705749	0.21126639177541176
0.054	0.13237963371820788	0.7828940011021731	6.510347751125226	0.21268709054000565
0.055	0.13317873979281256	0.7800200425981763	6.5196620415051765	0.2135830634935775
0.056	0.13421274424841753	0.7783288719247338	6.531295320277121	0.2148083382682746
0.057	0.13523623714612348	0.77687887142234	6.543973688651337	0.21607851725888794
0.058	0.13611074155724384	0.7751394241023081	6.553343435512474	0.21709705696285964
0.059000000000000004	0.13704697526254028	0.7734908635656781	6.5644411099555295	0.2182071057733991
0.06	0.13804906154593646	0.7721087319674863	6.576631602171515	0.2194413157050435
0.061	0.13900543613270144	0.7692170936529321	6.585829658723782	0.2204552796009748
0.062	0.13990938879861764	0.7668951065095351	6.5951990413343085	0.22144397147301592
0.063	0.14101365001872437	0.7660695048171805	6.60844695667034	0.2228014630154372
0.064	0.1422090297944722	0.7650614754082607	6.621495085872324	0.22425155678487846
0.065	0.14304773413887606	0.7629810001195783	6.6309377349741	0.2251518553823017
0.066	0.14410542226442233	0.7617432163551363	6.642016973110094	0.22635705305598322
0.067	0.14504517193319152	0.7602667455401837	6.652277470406889	0.22747031796191539
0.068	0.14613916509383368	0.7598236891194882	6.664125661532995	0.22880893857703075
